Item,Specification,Price
"MULTIMETER AVOMETER","DIGITAL","1200.00"
"NAVIGATING COMPASS","","930.00"
"NEWTON’S COLOUR DISC ON STAND","","990.00"
"NEWTON’S RING APPARATUS","","1950.00"
"NICHROME WIRE","REEL","645.00"
"OPTICAL BENCH COMPLETE WITH ACCESSORIES","","3540.00"
"OPTICAL PINS","PACKET OF 50","300.00"
"OSCILLOSCOPE","5 MHZ","55000.00"
"OSCILLOSCOPE","10 MHZ","65000.00"
"OSCILLOSCOPE","20 MHZ","75000.00"
"OVEN ELECTRICAL","","45500.00"
"OVERFLOW CANS","EUREKA CANS","170.00"
"P.V.C TUBING","","60.00"
"PENCIL JOCKEY","","358.00"
"PENDULUM BOB","½’’","150.00"
"PENDULUM BOB","¾ ‘’","250.00"
"PERIODIC TABLE CHART","CHEMISTRY","1000.00"
"PERISCOPE","WOODEN","875.00"
"PERSPEX BLOCK","","550.00"
"PERSPEX ROD","","300.00"
"PETRI DISH","9.0 CM PLASTIC","50.00"
"PETRI DISH","5.5CM GLASS","200.00"
"PETRI DISH","9.0CM GLASS","300.00"
"PH METER","DIGITAL","45000.00"
"PH METER PROBE","ELECTRODE","5000.00"
"PHOTOCELL","","2100.00"
"PHOTOSYNTHESIS APPARATUS POTOMETER GANOG","","750.00"
"PIN HOLE CAMERA","","875.00"
"PINCH CLIP","MOHR","250.00"
"PIPE CLAY TRIANGLES","","120.00"
"PIPETTE FILLER","BULB TYPE","250.00"
"PIPETTE FILLER","THREE WAY","750.00"
"PIPETTE GRADUATED","1ML","114.00"
"PIPETTE GRADUATED","2ML","132.00"
"PIPETTE GRADUATED","5ML BULB","180.00"
"PIPETTE GRADUATED","10ML BULB","200.00"
"PIPETTE GRADUATED BOROSILICATE","20ML","200.00"
"PIPETTE GRADUATED BOROSILICATE","25ML","310.00"
"PIPETTE BULB","20ML","300.00"
"PIPETTE BULB","25ML","310.00"
"PIPETTE GRADUATED","50ML","354.00"
"PIPETTE GRADUATED SIMAX","10ML","250.00"
"PIPETTE BULB SIMAX","25ML","450.00"
"PIPETTE STAND","PLASTIC","355.00"
"PIPETTE STAND","WOODEN","355.00"
"PITH BALLS ON STAND","","300.00"
"PLANE MIRROR","","50.00"
"PLATINUM WIRE HOLDER","","210.00"
"PLATINUM WIRE","1 INCH","450.00"
"PLUG KEY","1 WAY","162.00"
"PLUG KEY","2 WAY","280.00"
"POLYTHENE ROD","","150.00"
"PORCELAIN BOATS","","180.00"
"POROUS POT","6’’","141.00"
"PORTABLE BURNER","","2950.00"
"POTENTIOMETER VARIABLE","50/100 OHMS","250.00"
"POTENTIOMETER WITH PENCIL JOCKEY","","4500.00"
"POTOMETER GANOG","","750.00"
"POTOMETER STUDENT","","510.00"
"POWER SUPPLY UNIT WITH METERS","12V","990.00"
"POWER SUPPLY UNIT WITH METERS","30V","25000.00"
"PRESERVATION BOTTLE","500ML","270.00"
"PRESERVATION BOTTLE","1000ML","390.00"
"PRESERVATION BOTTLE","1500ML","420.00"
"PRESERVATION BOTTLE","2000ML","480.00"
"PROOF PLANE","","162.00"
"PULLEY","SINGLE","180.00"
"PULLEY","DOUBLE","328.00"
"PULLEY","TRIPLE","390.00"
"RAIN GAUGE","","1600.00"
"RAIN GAUGE MEASURING CYLINDER","PLASTIC","300.00"
"RAY BOX COMPLETE","SUPERIOR","6550.00"
"RAY BOX WITH SLITS","","1400.00"
"REAGENT BOTTLE AMBER","60ML","200.00"
"REAGENT BOTTLE AMBER","125ML","250.00"
"REAGENT BOTTLE AMBER","250ML","300.00"
"REAGENT BOTTLE AMBER","500ML","400.00"
"REAGENT BOTTLE AMBER","1000ML","800.00"
"REAGENT BOTTLE CLEAR","60ML","200.00"
"REAGENT BOTTLE CLEAR","125ML","250.00"
"REAGENT BOTTLE CLEAR","250ML","300.00"
"REAGENT BOTTLE CLEAR","1000ML","800.00"
"RESISTANCE BOX PLUG TYPE","","2900.00"
"RESISTANCE COIL ANY","1–100 OHMS","162.00"
"RESISTOR CARBON","","50.00"
"RESONANCE APPARATUS COMPLETE","","4140.00"
"RESONANCE TUBE","","810.00"
"RETORT BOSS HEAD","","450.00"
"RETORT CLAMP","125ML","583.00"
"RETORT FLASK","250ML","711.00"
"RETORT FLASK","","800.00"
"RETORT RING","10’’ X 6","600.00"
"RETORT STAND ROD & BASE","IMPORTED","1200.00"
"RETORT STAND ROD & BASE","","1200.00"
"RETORT STAND COMPLETE","","1600.00"
"REVERSING KEY","50 OHM","1060.00"
"RHEOSTAT","","1250.00"
"RIPPLE TANK COMPLETE WITH POWER SUPPLY","","16000.00"
"RIPPLE TANK MOTOR ONLY","","550.00"
"RUBBER STOPPER NO.6","IGNITION TUBE","30.00"
"RUBBER STOPPER NO.8","TEST TUBE","40.00"
"RUBBER STOPPER NO.13","BOILING TUBE","60.00"
"RUBBER STOPPER NO.15","CONICAL FLASK","90.00"
"RUBBER STOPPER NO.18","","120.00"
"SAND BATH METAL","","550.00"
"SAVARTS TOOTHED WHEEL","","2500.00"
"SCALPEL BLADES","EACH","20.00"
"SCALPEL BLADES","PER PKT OF 100","1000.00"
"SCALPEL HANDLE","NO. 3 & 4","150.00"
"SEPARATING FUNNEL","60ML","420.00"
"SEPARATING FUNNEL","125ML","500.00"
"SEPARATING FUNNEL","250ML","750.00"
"SEPARATING FUNNEL","500ML","850.00"
"SIGNAL GENERATOR","","24900.00"
"SIMPLE SCREW MODEL","","450.00"
"SINTERETED FUNNEL","","750.00"
"SIPHON PUMP","","550.00"
"SLINKY SPRINGS","","950.00"
"SMOKE CELL","12’’ X ½","2478.00"
"SOFT IRON ROD","SET OF SIX","350.00"
